Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
452,Puente Gabino - Pluviografica,-75.20589,6.55962,Barbosa,,,,El Caney,2020-07-22,Activa
453,Montannita Extensometro,-75.66599,6.19204,Medellin,,,80 San Antonio de Prado,Montanita,2020-07-27,Activa
454,Montannita Acelerometro,-75.66599,6.19204,Medellin,,,80 San Antonio de Prado,Montanita,2020-07-27,Activa
455,Montannita - Humedad stevens,-75.66599,6.19204,Medellin,,,80 San Antonio de Prado,Montanita,2020-07-27,Activa
456,Pluviometro Arenys de mar,-75.60666,6.27631,Medellin,Blanquizal,13 San Javier,,,2020-07-31,Activa
457,Ajizal,-75.58864,6.25922,Medellin,,,,,2020-08-14,Activa
1000,Thiess Movil 1,-75.57247,6.23980,Medellin,Calle Nueva,10 La Candelaria,,,2017-05-26,Inactiva
1004,La clara digital- Humedad,-75.61877,6.04188,Caldas,,,,,2017-12-14,Activa
1010,Vereda San Antonio - Pluvio,-76.67252,1.18356,Mocoa,,,,San Antonio,2017-04-12,Activa
1011,Policia,-76.64860,1.14705,Mocoa,,,,,2017-04-13,Activa
1012,Escuela el libano - Pluvio,-76.66859,1.14552,Mocoa,,,,,2017-04-12,Activa
1013,Rio Sangoyaco - Nivel,-76.64685,1.14853,Mocoa,,,,,2017-04-13,Activa
1014,Rio Mulato - Nivel,-76.64522,1.14378,Mocoa,,,,,2017-04-13,Activa
1018,Santa Elena-Radar - Thies,-75.52760,6.19350,Medellin,NULL,NULL,90 Santa Elena,El Plan,2017-06-15,Inactiva
1019,Torre SIATA - Thies,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,2017-06-20,Activa
1020,Thiess Movil 2,-75.57750,6.25705,Medellin,Carlos E. Restrepo,11 Laureles - Estadio,,,2017-09-07,Inactiva
1021,San Luis de Chontayaco,-76.68571,1.14696,Mocoa,,,,San Luis de Chontayaco,2017-09-07,Activa
6001,Piranometro Torre SIATA,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,2016-03-08,Activa
6002,Piranometro Concejo Itagui,-75.64410,6.16810,Itagui,Bariloche,,,,2016-03-10,Activa
6003,Piranometro Joaquin Vallejo,-75.54270,6.25510,Medellin,La Ladera,08 Villa Hermosa,,,2016-04-13,Activa
6004,Piranometro Parque de las Aguas,-75.41949,6.40671,Barbosa,,,,,2017-09-21,Activa
6005,Piranometro AMVA,-75.57429,6.24219,Medellin,La Alpujarra,10 La Candelaria,,,2017-09-21,Activa
100129,Antena - Tasajera - Nivel Hatillo,-75.39381,6.41249,Barbosa,,,,,2020-06-19,Activa
100130,Antena - Radar Meteo - Amigo Policia,-75.52877,6.19074,Envigado,,,,,2020-06-19,Inactiva
100131,Antena - Reino Belgica - La Candelaria,-75.54001,6.28466,Medellin,,,,,2020-06-19,Activa
100132,Antena -  Acelero Solidaridad - None,-75.54600,6.23600,Medellin,,,,,2020-06-19,Activa
100170,IRGASON Altavista CEDEPRO,-75.63624,6.21959,Medellin,,,,,2020-08-14,Activa
100171,Antena - Irgason Jesus Maria Valle – La Candelaria,-75.58216,6.30065,Medellin,,,,,2020-08-10,Activa
100172,Ceilometro Jesus Maria Valle,-75.58216,6.30065,Medellin,,,,,2020-08-10,Activa
100272,Antena - Tasajera - Acelero Girardota,-75.43522,6.42450,Barbosa,,,,,2020-06-19,Activa
100302,Camara - Deslizamiento Ancon Norte,-75.58864,6.25922,Medellin,,,,,2020-08-10,Activa
100449,Antena - Tasajera - Thiess Parque de las Aguas,-75.43522,6.42450,Barbosa,,,,,2020-06-19,Activa
100450,Antena - Ciudadela de la Vida - La Holanda,-75.50475,6.34536,Copacabana,,,,,2020-06-19,Activa
100451,Antena -  Amigo Policia - Sectorial Centro,-75.61600,6.25300,Medellin,,,,,2020-06-19,Inactiva
100455,Camara Nivel Hatillo,-75.39381,6.41249,Barbosa,,,,Hatillo,2020-07-21,Activa
100456,Antena - Jesus Maria Valle – Acelero solidaridad,-75.58216,6.30065,Medellin,,,,,2020-08-10,Activa
100457,TDR Manga arriba,-75.45708,6.35432,Girardota,,,,Manga Arriba,2020-08-04,Activa
100458,Antena - Manga arriba – NONE,-75.45944,6.35156,Medellin,,,,,2020-08-10,Activa
100459,Antena Escuela CEDEPRO I E Joaquin Vallejo Arbelaez,-75.63624,6.21959,Medellin,,,,,2020-08-14,Activa
100460,Antena Ajizal Santa Elena,-75.58864,6.25922,Medellin,,,,,2020-08-14,Activa
100461,Antena I E Joaquin Vallejo Arbelaez Escuela CEDEPRO,-75.54273,6.25513,Medellin,,,,,2020-08-14,Activa
100464,Camara Ajizal,-75.58864,6.25922,Medellin,,,,,2020-08-14,Activa
