Fecha hora inicio,Aeropuerto,Tipo Informe,Informe
2020-08- 18 13:25:00,SKPE,SPECI,SPECI SKPE 181325Z 09004KT 8000 VCSH SCT012 SCT080 19/18 A3012 RETSRA RMK VCSH N/NE=
2020-08- 18 14:00:00,SKPE,METAR,METAR SKPE 181400Z 13004KT 9999 MIFG SCT014 SCT080 21/20 A3010 RETSRA=
2020-08- 18 14:00:00,SKUI,METAR,METAR SKUI 181400Z 21005KT 9999 BKN015 27/24 A2989
2020-08- 18 14:00:00,SKEJ,METAR,METAR SKEJ 181400Z VRB02KT 9999 BKN010 26/25 A2988=
2020-08- 18 14:00:00,SKCC,METAR,METAR SKCC 181400Z 15004KT 120V190 8000 VCFG SCT015 BKN080 25/24 A2999=
2020-08- 18 14:00:00,SKIP,METAR,METAR SKIP 181400Z 00000KT 9999 BKN016 SCT080 11/09 A3044=
2020-08- 18 14:00:00,SKUC,METAR,METAR SKUC 181400Z 11004KT 8000 -DZ BKN015 SCT070 25/24 A2991=
2020-08- 18 14:00:00,SKCG,METAR,METAR SKCG 181400Z 17005KT 9999 SCT014CB SCT200 29/27 A2984 RMK CB/E/S/W=
2020-08- 18 14:00:00,SKPS,METAR,METAR SKPS 181400Z 00000KT 3000 BCFG SCT015 OVC080 16/16 A3021=
2020-08- 18 14:00:00,SKMD,METAR,METAR SKMD 181400Z 36003KT 8000 SCT025 BKN090 22/16 A3018  RMK HZ=
2020-08- 18 14:00:00,SKCL,METAR,METAR SKCL 181400Z 05003KT 360V100 8000 SCT017 25/21 A3005 NOSIG RMK HZ=
2020-08- 18 14:00:00,SKBG,METAR,METAR SKBG 181400Z 18004KT 9999 FEW012 BKN240 22/20 A3003=
2020-08- 18 14:00:00,SKSP,METAR,METAR SKSP 191400Z 06007KT 030V100 9999 FEW018 30/25 A2290=
2020-08- 18 14:00:00,SKLC,METAR,METAR SKLC 181400Z 18006KT 9999 SCT012 SCT080 28/25 A2989=
2020-08- 18 14:00:00,SKAR,METAR,METAR SKAR 181400Z 00000KT 6000 VCFG BKN010 20/19 A3010=
2020-08- 18 14:00:00,SKNV,METAR,METAR SKNV 181400Z 19004KT 120V250 9999 FEW025 SCT230 26/21 A2996=
2020-08- 18 14:00:00,SKLT,METAR,METAR SKLT 181400Z 08003KT CAVOK 29/27 A2985=
2020-08- 18 14:00:00,SKPV,METAR,METAR SKPV 181400Z 08004KT 010V140 9999 FEW017 SCT200 30/27 A2989=
2020-08- 18 14:00:00,SKBQ,METAR,METAR SKBQ 181400Z 11004KT 070V150 9999 FEW015 SCT200 28/25 A2987 NOSIG=
2020-08- 18 14:00:00,SKVV,METAR,METAR SKVV 181400Z 28004KT 9999 FEW020 SCT200 24/18 A2993=
2020-08- 18 14:00:00,SKBO,METAR,METAR SKBO 181400Z VRB02KT 8000 FEW010 SCT070 14/12 A3034 NOSIG RMK HZ=
2020-08- 18 14:00:00,SKRG,METAR,METAR SKRG 181400Z 20003KT 9999 BKN015TCU 18/15 A3032 NOSIG RMK TCU/E=
2020-08- 18 14:00:00,SKSM,METAR,METAR SKSM 181400Z 18005KT 9999 FEW020 BKN200 29/25 A2988=
2020-08- 18 14:00:00,SKPC,METAR,METAR SKPC 181400Z 13004KT 9999 SCT013 BKN070 25/23 A2990 RETSRA=
2020-08- 18 14:00:00,SKVP,METAR,METAR SKVP 181400Z 00000KT 9999 FEW015 BKN200 27/24 A2993=
2020-08- 18 14:00:00,SKMR,METAR,METAR SKMR 181400Z 19003KT 9999 SCT015 SCT070 27/25 A2987=
2020-08- 18 15:00:00,SKIP,METAR,METAR SKIP 181500Z 00000KT 9999 BKN016 12/09 A3044=
2020-08- 18 15:00:00,SKBQ,METAR,METAR SKBQ 181500Z 06003KT 9999 FEW018 SCT200 31/26 A2986 NOSIG=
2020-08- 18 15:00:00,SKUI,METAR,METAR SKUI 181500Z 19005KT 9999 BKN015 27/24 A2988=
2020-08- 18 15:00:00,SKCG,METAR,METAR SKCG 181500Z 24007KT 170V240 9999 BKN014CB 30/27 A2983 CB/S/W=
2020-08- 18 15:00:00,SKPS,METAR,METAR SKPS 181500Z 00000KT 9999 SCT020 BKN080 19/15 A3020=
2020-08- 18 15:00:00,SKBO,METAR,METAR SKBO 181500Z 30004KT 9999 FEW015 SCT200 17/11 A3034 NOSIG=
2020-08- 18 15:00:00,SKCC,METAR,METAR SKCC 181500Z 13003KT 100V170 9999 SCT020 BKN090 26/25 A2997=
